T,TM,Tm,H,PP,VV,V,VM,PM_2_5
22.2,27.7,17.7,63,0,6.9,2.8,7.6,188.04166666666666
22.7,28.4,18.1,65,0,6.3,3.9,5.4,310.25
23.4,29.1,18.4,62,0,6,5.7,9.4,258.1578947368421
23.8,30.2,17.7,56,0,5.5,6.1,9.4,223.25
24,31.4,19,63,0,6.3,5.4,7.6,248.95833333333334
20.9,25.8,16.6,51,0,6.6,3.9,11.1,0.0
20.3,27.6,14,42,0,7.1,4.4,9.4,276.4
19.9,28.1,12.4,45,0,6.9,4.8,7.6,146.79166666666666
20.2,27.6,13.1,41,0,6.8,4.8,7.6,113.875
20.8,28.6,14.7,55,0,6,4.3,5.4,227.0
21.3,29.3,15.2,44,0,6.3,4.6,7.6,231.25
21.3,29.6,13.2,40,0,6.3,3.5,3.5,272.125
21.5,28.8,14.3,47,0,6,3.9,7.6,228.79166666666666
20.7,30.3,14.5,53,0,6,3.9,5.4,200.875
21.2,29.3,12.3,34,0,6.9,4.8,9.4,214.04166666666666
21.8,29,14.3,39,0,6.3,3.9,5.4,217.25
21.3,30.3,13.7,39,0,6.3,5.2,11.1,212.45833333333334
21.3,28.6,14.8,44,0,6.9,4.1,5.4,202.66666666666666
23.3,30.2,17.2,54,0,6.3,4.6,9.4,138.79166666666666
23.3,30,18.8,63,0,6,4.6,9.4,153.08333333333334
23.2,30.2,19,65,0,5.5,1.5,5.4,159.70833333333334
21.7,29.4,16.4,54,0,6.3,5.9,9.4,151.875
21.4,28.2,15.7,55,0,6.3,4.8,7.6,224.79166666666666
22.4,27.8,16.3,57,0,6.3,5.2,7.6,185.34782608695653
22.9,29.6,16.6,59,0,6.9,4.8,9.4,149.625
24.4,31.1,18.3,55,0,6.9,3.3,5.4,161.16666666666666
26.4,31.8,20.4,51,0,6.3,3,5.4,136.75
23.7,32.6,20.2,73,57.91,6.3,3,9.4,76.375
23.1,29,17.3,52,0,6.8,4.3,5.4,120.20833333333333
24.6,30.4,17.2,51,0,7.7,5.7,11.1,137.125
25.2,31.6,19,56,0,6.3,4.8,7.6,197.08333333333334
26.8,34,22,56,0,6.3,4.8,7.6,166.375
25.4,32.8,20.5,53,0,6.9,5.7,7.6,126.58333333333333
25.1,32.1,18.2,42,0,6.3,7.2,11.1,94.91666666666667
26.6,34.6,17.2,25,0,6.3,5.4,11.1,133.95833333333334
26.2,35.5,20.8,46,0,5.5,4.6,7.6,69.25
26.3,34.5,21.3,51,0,6.9,5,9.4,82.73913043478261
26.3,33.8,21.3,57,0,5.3,5.4,11.1,94.875
25.9,33.5,21.7,60,0,6.9,5.9,11.1,32.666666666666664
26.1,32.1,20.5,57,0,6.3,3.9,11.1,61.125
28.4,36.4,20.1,25,0,6.9,3.3,5.4,49.583333333333336
28.3,37,21.8,33,0,6.9,3,5.4,34.916666666666664
27.4,35.9,22.5,53,0,6.9,4.1,5.4,47.5
26.6,34,19.7,32,0,6.6,4.4,9.4,128.83333333333334
27.2,33.8,19.7,29,0,6.9,4.6,7.6,56.333333333333336
27.3,34.3,20.2,27,0,6.9,6.1,11.1,20.291666666666668
27.7,34.2,21.2,45,0,6.9,4.6,11.1,59.166666666666664
27.7,35,23,46,0,6.9,4.1,5.4,83.83333333333333
27.9,34.3,22.7,40,0,6.9,3.3,7.6,89.375
28.4,35.5,22.8,41,0,6.9,2.4,5.4,101.375
28.3,35.4,21.5,33,0,6.9,5,11.1,109.75
27.9,35,22.6,32,0,7.7,4.1,5.4,42.916666666666664
28.7,35.3,22.7,44,0,6.9,2.8,5.4,47.25
28.7,35.6,22.9,38,0,6.9,3.5,5.4,81.20833333333333
28.3,36,23.6,49,0,6.9,3,5.4,52.291666666666664
29,35,22.6,43,0,6.6,2.6,3.5,28.458333333333332
29.5,35.4,24,37,0,6.9,1.9,5.4,49.5
28.4,36.4,24,50,2.03,6.9,2,3.5,75.16666666666667
28.2,35.6,22.8,52,0,6.9,2,5.4,53.125
29.4,36.6,24.6,37,0,6.9,2.8,5.4,54.708333333333336
29.5,36,24.2,34,0,6.9,4.4,11.1,52.625
29.1,36.2,24,36,0,6.9,3,3.5,51.375
27.6,35.6,21.4,58,0,6.9,2.8,5.4,94.33333333333333
26.8,33.2,22.4,62,0.25,6.3,3.1,7.6,92.91666666666667
27.4,34.2,21.6,55,0,6.3,3.1,7.6,80.20833333333333
28.8,34.8,22.8,39,0,6.9,2.4,5.4,71.66666666666667
29.6,35.6,23.5,47,0,6.9,3.1,7.6,31.833333333333332
30.4,36.6,24.4,42,0,6.9,0.4,3.5,47.666666666666664
26.3,30,21.6,65,0,6.6,5,7.6,48.125
27,31.6,22,54,0,7.7,4.1,11.1,56.25
27.1,33.4,21.4,56,0,6.9,5.4,9.4,103.41666666666667
25.5,36.2,20.8,71,0,6.9,5.9,9.4,76.875
26.7,33.6,20.6,64,14.99,7.7,5.9,7.6,86.375
27.9,32.6,22,55,0,7.4,4.3,66.5,77.70833333333333
26.7,35,21.7,64,0,6.9,3,11.1,48.5
27.9,35,21.8,58,0,6.9,5.2,7.6,55.083333333333336
25.6,34.8,22.2,73,7.11,6.3,3.7,7.6,67.45833333333333
-,-,-,-,-,-,-,-,75.04166666666667
-,-,-,-,-,-,-,-,63.958333333333336
-,-,-,-,-,-,-,-,48.875
-,-,-,-,-,-,-,-,34.84615384615385
26.4,34.6,22.6,73,3.05,6.3,1.9,5.4,45.0
26.1,34,22.4,72,1.02,5.8,3.9,7.6,69.42857142857143
24.8,33.5,21,74,-,6.9,3.1,5.4,77.375
27.9,33.6,23,55,0.25,6.9,3,11.1,72.1
27.8,34,23,65,0,6.9,3.5,5.4,81.5
26.5,33.3,22,68,2.03,6.3,4.4,7.6,66.3913043478261
27.5,33.2,21,67,0,6.9,3.5,5.4,25.458333333333332
26.2,33.2,22.6,75,7.62,6.3,6.5,7.6,20.75
25.5,32.1,21.2,73,0,6.9,2.4,5.4,40.5
25.4,32,20.6,73,20.07,7.7,3.3,5.4,64.83333333333333
26.3,31.5,22.5,74,0,6.9,4.3,7.6,63.0
26.7,32.2,22.3,70,0,6.9,4.8,7.6,73.83333333333333
24.8,29.4,22,76,0,6.9,11.9,18.3,31.875
25.3,30.6,22,73,0.51,6.9,8.5,14.8,54.958333333333336
26.5,31,21.2,66,0,6.9,10,14.8,77.75
26.6,31.2,21.5,62,0,6.9,8.7,14.8,75.33333333333333
25.7,32.3,22.2,65,1.27,6.9,10.6,14.8,32.583333333333336
24.6,30.6,20.7,71,0,6.3,8.5,14.8,28.375
25,29.7,21.4,73,0,6.9,6.3,11.1,28.541666666666668
24.6,29.8,21.6,71,0,7.7,4.6,7.6,51.041666666666664
24.9,30,21.6,68,5.08,6.9,8.3,14.8,40.0
25.6,29.8,21,61,0,6.9,9.1,18.3,37.583333333333336
25.5,30.5,21.5,64,0,6.9,9.8,16.5,37.625
25.4,30.8,21.4,64,0,6.9,10.2,18.3,34.375
24.5,28.6,20.7,67,0,6.9,12,20.6,42.291666666666664
24.4,29.2,20.6,67,0,6.9,9.4,14.8,45.666666666666664
23.8,29.5,20,74,0,6.9,10.7,14.8,40.625
25.2,31.2,21,70,0,6.9,5,7.6,26.875
24.7,30,21.3,69,1.02,6.9,8.1,11.1,30.708333333333332
24.2,30.8,21.4,78,0.25,6.6,5.6,7.6,30.625
23.6,28.4,21.6,78,1.02,6.3,5.4,9.4,43.041666666666664
23.4,28.4,20.6,78,1.27,6.9,11.1,18.3,27.41176470588235
23,27.7,20.6,83,0,6.3,9.8,18.3,25.25
23.8,29.5,21.3,80,1.02,6.9,6.9,14.8,0.0
22.6,28.5,20.6,78,11.18,6.3,8.3,11.1,0.0
24.1,27.8,20.4,72,0,6.9,9.4,14.8,7.25
24.2,29.4,19.8,69,0,6.9,7.4,14.8,16.043478260869566
24.7,29.9,20.5,65,0,6.9,8,14.8,19.833333333333332
23.6,30.4,20.5,72,0,6.3,12.2,22.2,25.791666666666668
23.8,27.4,20.6,70,0,6.9,11.7,14.8,22.708333333333332
22.1,25.4,20.4,87,2.03,6.3,12.8,18.3,31.333333333333332
22,25.2,20.8,88,3.05,6.9,11.9,18.3,47.416666666666664
21.8,24.8,20,90,21.08,6.3,13,22.2,33.791666666666664
23.1,27.6,20.6,82,19.05,6.6,6.7,9.4,42.59090909090909
22.8,27.4,20.7,84,0.25,6.9,7.8,11.1,41.708333333333336
23.2,28.4,20.5,81,9.14,6.9,7.4,11.1,28.75
23.5,28.4,20.2,82,11.68,6.9,3,5.4,12.782608695652174
22.8,29,20.1,86,17.53,6.9,2.4,5.4,14.5
23.2,26.8,20.8,82,16.51,6.9,5.7,11.1,23.916666666666668
23,27.6,20,78,0,6.9,7.2,14.8,27.375
23,28.3,20,77,0,6.9,7.8,14.8,29.208333333333332
23.9,28.2,20.4,73,0.25,6.9,8.5,14.8,36.5
23,28.7,20.4,80,0,6.9,9.1,14.8,27.833333333333332
23,26.4,20.4,77,0,6.9,8.3,14.8,44.125
22.3,26.8,20.3,85,0.51,6.9,5.6,11.1,62.25
22.2,26.4,20.1,84,12.95,5.5,10.4,14.8,60.125
23.2,27.3,20.4,78,2.29,6.9,11.9,22.2,34.666666666666664
23.6,27.8,20.8,76,0.25,6.9,8.3,14.8,39.208333333333336
24.1,27.5,21,73,0.25,6.9,10.2,14.8,38.708333333333336
25,29.8,21,69,0.51,7.4,7.4,11.1,69.95833333333333
25.1,30.2,21.2,69,0,6.9,7.4,9.4,98.47826086956522
24.8,30.7,21.3,69,0,6.3,7.8,11.1,85.75
24.2,27.6,21.2,75,0.25,6.3,5.9,9.4,51.666666666666664
24.2,29,20.6,72,1.78,6.9,5.6,7.6,39.416666666666664
25.2,29.2,21.2,68,0,6.9,5.6,7.6,23.958333333333332
23.2,28.8,20.2,82,23.62,6.9,2,7.6,43.5
23.9,28,20.2,76,1.78,6.9,3.3,7.6,50.416666666666664
23.9,28.8,21,82,0,6.3,2.4,5.4,55.708333333333336
23.5,30.3,20.6,82,2.03,6.3,5.2,7.6,57.125
24.9,29.1,18.6,68,22.1,8.9,1.1,5.4,69.375
23.5,30.4,19.2,81,7.87,6.9,3.1,7.6,65.375
24.1,29.6,21.3,76,0,6.3,0.2,1.9,112.29166666666667
23.3,29.2,20.2,80,0,6.3,3.7,7.6,97.70833333333333
24.3,30.1,19.3,71,5.59,6.3,1.3,5.4,80.70833333333333
24.9,29.8,21.5,75,0,7.7,2.8,7.6,81.625
26.7,30.6,21.6,63,0,6.9,2.4,5.4,65.375
24.7,30.7,21.6,73,0,6.3,3.7,7.6,84.375
23.4,27.6,20.2,75,8.89,7.7,3.9,7.6,148.1304347826087
23.3,27.9,21,75,0,4.8,2.8,5.4,153.375
22.2,28.6,20.6,90,7.87,6.3,0,-,162.875
21.5,26.7,19.4,86,0,6.3,5.4,11.1,0.0
22.4,27,19,79,6.1,6.9,2.8,9.4,78.93333333333334
22.3,27.8,19.4,86,3.05,6.3,4.1,5.4,107.33333333333333
22.5,25.6,19.7,82,6.86,5.8,5.7,9.4,273.625
23.8,27.8,18,74,0.25,6.9,3.3,5.4,256.9583333333333
24.2,29.4,21,73,0,6.9,2.4,5.4,185.08333333333334
24.4,29.5,20.6,67,0,6.9,2.4,5.4,260.3478260869565
24.7,30.9,18.6,66,0,6,1.9,3.5,365.75
24.4,28.4,21.8,75,3.05,6.9,3.1,5.4,241.875
24.3,29.2,21.2,74,0,6.3,0.9,3.5,184.56521739130434
22.9,28,18.5,66,0,6.9,3.5,5.4,353.0416666666667
22.3,28.8,18.8,80,0,6.9,3.7,7.6,257.4166666666667
22.7,26.8,19.4,83,2.79,6.3,2,5.4,204.75
23.6,29.4,19.8,72,0,6.9,3.1,5.4,207.83333333333334
22.3,29.8,20.2,84,10.92,6.9,3.9,5.4,268.1666666666667
22.4,27.6,20.4,79,0,6.6,2.4,5.4,278.3333333333333
22.4,28.5,18.6,73,0,6.9,4.1,7.6,157.5
21.9,27.3,16.7,71,0,7.4,4.6,5.4,156.375
21.9,28.3,20,79,0.25,6.9,4.6,9.4,200.5
21.2,24.6,20,93,1.78,5.5,3.3,5.4,212.125
21.4,24,19.7,84,6.86,5.8,5.2,7.6,190.5
21.1,24.5,19.4,79,0.51,6.3,4.1,7.6,236.41666666666666
20.3,24.5,15.8,86,0.51,5.5,1.1,5.4,286.375
20.2,24.9,17.8,87,0,4,4.3,7.6,288.0833333333333
21.5,25.6,17,70,0,6.9,4.3,5.4,302.4583333333333
22.2,28.2,17.4,69,0,6.9,4.3,5.4,163.0
21.1,28.8,18.2,85,0,5.5,5.4,7.6,161.375
21.7,26,17.6,67,2.79,6.9,3.7,7.6,157.375
20.7,26.4,18,73,0,6.3,3.3,7.6,245.91666666666666
20.9,25,16.2,75,0,6.9,2.2,5.4,264.5833333333333
21.9,27.4,18,72,0,6.3,3.3,7.6,253.29166666666666
21.6,28.6,19.8,83,0,6.3,3.9,7.6,181.20833333333334
22.3,27.2,19,73,0,6.3,3,5.4,210.875
23.4,29.6,18,66,0,6.6,2.2,5.4,255.33333333333334
21.9,28.1,17.5,74,0,6.3,4.8,7.6,220.0
22,27.2,19.2,75,0,6.9,3.3,5.4,284.79583333333335
22.2,26,19.4,77,0,5.5,2,5.4,239.69545454545457
23.4,28.4,19.4,68,0,6.9,3.5,5.4,182.1875
22.2,26.2,18.8,68,0,6.3,5,7.6,264.06428571428575
22.7,28.6,18.2,61,0,6.3,3,5.4,223.20833333333334
23.1,29.8,18,60,0,6.9,1.9,3.5,200.64583333333337
22.9,27.6,17.4,53,0,8,0.6,3.5,285.22499999999997
21.9,29,16.4,51,0,6.9,4.4,5.4,334.3411764705882
21,29.5,14.4,51,0,6.9,2.8,5.4,276.90833333333336
23.3,28.6,19.2,65,0,6.9,2.4,5.4,108.0
23.3,29.8,17.7,55,0,6.3,3.7,7.6,107.625
22.6,31,17.2,47,0,6.9,3.7,7.6,125.89166666666667
22.6,31.3,15.4,33,0,6.9,3.9,5.4,181.01250000000005
23.4,31.7,15.5,37,0,7.7,1.3,3.5,152.55416666666667
23.9,32.7,15.9,45,0,7.7,2.8,5.4,152.32083333333335
25.1,33.4,19,50,0,6.9,2,5.4,319.7375
23.4,32.7,18.8,55,0,6.3,4.1,7.6,332.7083333333333
22.9,30.5,17.4,54,0,6.9,4.6,5.4,279.59999999999997
23.3,29.2,17.2,43,0,6.9,3,5.4,179.11666666666667
23.7,31,18,52,0,6.6,2.2,59.4,54.791666666666664
24.4,30.8,19,53,0,6.9,3.1,3.5,93.375
23.8,31.6,18.2,55,0,6.3,3.7,9.4,103.0
24.5,31,18.6,46,0,6.9,4.1,5.4,132.20833333333334
24.7,32.2,18,44,0,6.9,2,5.4,127.70833333333333
25.2,32.3,17.6,31,0,6.3,1.3,3.5,145.77777777777777
23.8,32.6,17.6,46,0,6.9,4.1,7.6,90.33333333333333
23.7,31.5,16.5,38,0,6.3,4.8,7.6,135.83333333333334
24,32.6,16.6,38,0,6.3,3.9,7.6,122.5
25,31,18,46,0,6.3,4.3,9.4,69.66666666666667
25.4,32.5,19.4,53,0,6.3,4.3,5.4,79.83333333333333
25.2,32.4,20.4,52,0,6.3,3.5,7.6,83.61111111111111
25.5,32.8,20.2,52,0,6.3,3.1,5.4,2.5555555555555554
24.5,32.3,20.4,57,0,6.3,2.2,3.5,2.0952380952380953
25.8,30.6,20,51,0,6.3,1.5,3.5,2.263157894736842
26.1,33.4,22.3,60,1.02,6.3,1.3,3.5,117.58333333333333
26.4,32.3,22,58,0,6.9,1.9,3.5,122.70833333333333
26.4,33.3,21.6,57,0,6.9,2,5.4,76.54166666666667
26.4,34.4,21,42,0,7.7,1.9,3.5,59.208333333333336
26.9,33.8,20.4,37,0,6.9,1.3,3.5,80.56521739130434
26.6,34.4,20.5,42,0,6.3,4.4,7.6,87.83333333333333
27.6,35.2,20.9,34,0,6.3,1.1,3.5,123.70833333333333
25.4,35.2,22.6,64,2.03,6.9,3.5,5.4,64.79166666666667
27.4,34.1,22,45,-,6.9,2.4,5.4,62.875
26.8,34.7,21,42,0,6.9,1.1,5.4,52.041666666666664
26.9,33,20.6,42,0,6.9,3,5.4,128.33333333333334
26.4,33.8,19.6,35,0,6.3,3.3,5.4,87.58333333333333
27.8,36.1,19.6,33,0,6.3,2.4,5.4,46.416666666666664
28.8,35.4,21,29,0,6.9,2.8,7.6,33.09090909090909
28.8,36,22,36,0,6.9,3,7.6,36.42857142857143
28.5,35.8,23,41,0,7.4,3.3,5.4,41.2
25,35.6,21,66,29.97,6.9,3,5.4,105.33333333333333
26.8,32.8,21,56,0,6.9,1.9,7.6,117.75
24.9,33.7,19,69,0,6.8,2.2,9.4,55.44444444444444
27.6,34,20.5,35,0,6.9,2.8,5.4,46.916666666666664
27.3,34.8,19.6,29,0,6.9,2.8,9.4,104.625
27.7,34.6,20.8,42,0,6.9,1.3,3.5,109.625
28.2,34.4,24,48,0,6.9,2.8,5.4,147.28571428571428
28.2,34.2,22.6,43,0,6.9,3.3,5.4,0.0
28,34.2,22.3,45,0,6.9,2,5.4,49.4
25.8,30.8,22.7,65,0,4,3,7.6,127.86666666666666
26.7,32,22.6,64,0,6.9,3.3,7.6,0.0
26.7,31.6,22.4,67,0,6.9,2.2,3.5,0.0
28.7,32.8,23,54,0,7.4,2.2,5.4,142.5
27.7,33.6,23.7,61,0,6.3,1.1,3.5,133.375
27.5,33.4,23.2,62,0.51,6.3,1.3,5.4,102.41666666666667
26.9,33.6,23.1,66,0.25,6.3,2,5.4,158.29166666666666
27.7,32.5,23.4,63,0,6.9,3.7,7.6,149.58333333333334
29.1,34,23.8,52,0,6.9,4.1,5.4,117.04545454545455
27.9,33.8,22.4,57,0,6.9,0.4,3.5,106.5
28.7,33.8,23.7,54,0,6.3,2.2,5.4,128.125
29,34.9,24,50,0,6.9,1.9,5.4,108.0
26.7,31.6,22.6,64,0,6.3,8.1,9.4,98.41666666666667
27.8,32.6,21.8,54,0,8.9,6.3,11.1,94.375
26.4,33.2,22,60,0,6.9,4.1,5.4,118.5
26.7,34.4,22,68,35.31,6.3,3.1,7.6,110.41666666666667
25.6,33.4,21.6,76,0,6.9,2.2,5.4,95.83333333333333
24.1,32.9,20.9,82,30.99,5.5,3,5.4,93.5
26.3,32,22.4,71,0.25,5.8,2.2,5.4,38.666666666666664
25.9,32.8,22.4,71,0,5.5,4.6,9.4,45.375
24.4,32,21.8,75,0,6.9,4.1,7.6,65.16666666666667
24.7,28.8,21.2,73,0,6.9,6.7,9.4,67.08333333333333
24.5,30.4,20.8,72,20.32,5.5,6.3,9.4,77.66666666666667
26.2,31.8,21.2,65,0,6.9,4.8,9.4,70.25
25.4,32.5,21.6,70,0,6.9,5.2,7.6,75.125
23.3,27,20,83,0,6.3,9.4,11.1,77.0
23.9,28.4,21,77,1.78,6.3,7.2,11.1,32.958333333333336
25,28.9,21.2,72,0,6.9,10.2,14.8,40.833333333333336
24.7,28.8,20.7,73,0,6.9,11.3,18.3,90.70833333333333
25.2,29.6,21.2,70,0,6.9,8.3,11.1,97.29166666666667
23.8,30.3,21.1,77,0,6.9,7.2,9.4,79.83333333333333
23.7,31.4,20.6,83,22.1,6.3,5.2,7.6,40.375
24.2,30.4,20.4,79,39.62,7.7,3.7,9.4,49.416666666666664
24.4,29.2,21,78,0,6.9,6.3,9.4,43.666666666666664
24.7,29.4,21.2,74,0,6.9,8.3,11.1,0.0
22.4,28.4,21,88,10.92,4.8,8.3,14.8,54.76923076923077
22.6,27.6,20.2,84,6.1,5.5,8.7,14.8,47.75
23.4,27.6,20.8,80,0,4.8,7.4,81.3,43.666666666666664
22.9,28.6,20.6,86,7.37,6.3,6.9,11.1,29.833333333333332
23.7,29.4,20.2,83,24.38,6.3,5.9,11.1,35.6
24.3,29.3,21.5,76,0,6.6,5.4,7.6,37.625
23.8,29.4,21.4,78,0,4.8,7.6,14.8,41.458333333333336
22.4,26.2,21,89,0,4.8,6.7,7.6,53.125
24.4,29,21,84,0.76,5.5,2.8,3.5,36.0
23.4,29.6,20,87,11.18,6.8,7.2,22.2,70.58333333333333
24.5,29.6,19,77,24.13,6.9,2,5.4,52.458333333333336
23.7,28.4,20.5,77,0,6.9,4.8,11.1,38.25
23.6,29.4,20.4,77,4.06,7.7,6.3,11.1,26.583333333333332
24.1,28.4,20.4,77,0,6.9,4.8,11.1,57.583333333333336
23.9,28.6,21.4,80,4.06,6.9,3.3,5.4,41.375
23,29.6,20.4,85,2.03,6.3,5.2,11.1,25.541666666666668
22.8,28,20.4,82,3.3,6.9,13.5,22.2,28.375
22.9,27.8,20.4,85,2.54,6.3,5.7,9.4,40.333333333333336
23.4,27.8,21.4,82,1.27,6.3,7.6,11.1,35.375
22.4,27.2,20.4,87,0,5.5,7,18.3,31.916666666666668
21.8,27.4,20.2,89,2.29,5.5,7.4,14.8,36.791666666666664
23.7,27.2,20.6,73,0,7.7,6.3,11.1,26.833333333333332
22.7,28,20.2,82,0,6.9,5.2,7.6,21.125
22.4,25.6,20.4,81,0,6.9,7.2,9.4,18.0
23.1,26.4,20.4,79,0,6.3,4.8,7.6,43.583333333333336
22.8,26.8,20.6,83,0,6.9,4.8,9.4,46.041666666666664
24.1,26.8,21,77,0,6.6,7.6,33.5,28.75
25,29.6,20.5,70,0,6.9,2,7.6,64.91666666666667
25.6,30.2,22,66,0,6.3,1.9,3.5,30.666666666666668
24.2,30,21.2,69,0,7.7,3.3,5.4,31.75
24.4,31.7,19.4,77,23.11,6.9,0.9,3.5,33.166666666666664
24,29.8,20,80,18.8,8.5,2,9.4,30.625
22.9,28.4,20.6,89,2.03,6.3,1.9,5.4,30.333333333333332
23.8,28,20.5,83,29.72,6.9,0.4,3.5,31.75
24.4,30.5,20.5,74,0,6.9,4.1,7.6,0.0
24.4,29.8,21.2,76,2.03,6.3,3.3,9.4,0.0
23.9,30.2,20.4,84,60.96,6.9,3.1,5.4,0.0
21.6,25.5,19.7,87,17.53,4.8,6.3,11.1,83.45833333333333
22.5,25.6,20.4,84,1.02,5.8,5.2,9.4,71.66666666666667
22.8,26.5,20.2,79,0,6.9,6.7,11.1,65.625
22.1,28.4,20.4,85,0,6.3,6.9,9.4,62.375
20.4,25.8,19.6,93,20.83,4,8,9.4,24.875
22.1,26,19,83,11.43,4.8,9.3,14.8,37.333333333333336
24.3,28.4,20.9,76,0.51,6.9,4.1,5.4,41.5
22.8,29.6,20.6,80,3.05,5.5,4.8,7.6,38.791666666666664
23.3,26,20.5,77,0,6.9,2.2,5.4,48.916666666666664
23.5,26.6,19.5,76,0,6.9,3,5.4,26.666666666666668
24.7,28.4,21,72,0,6.3,3.1,7.6,29.0
23.5,29.6,20.8,79,0.51,5.5,4.3,7.6,34.25
25,31.3,21.9,72,0,8.5,2.4,5.4,63.17391304347826
25.7,30.4,21.2,66,0,7.7,1.3,3.5,41.583333333333336
23.7,31.2,19.8,82,0,6.3,2.8,5.4,50.916666666666664
21.2,25.4,20,88,5.08,4.8,5.7,9.4,82.83333333333333
21.5,24.6,19.8,82,0.51,6.3,7.8,9.4,95.25
22.5,26.2,19.2,76,0,7.7,7.8,22.2,115.83333333333333
23.3,28,21,85,1.78,4.8,2,9.4,136.70833333333334
22.9,26.6,20.8,86,3.81,7.4,3.9,5.4,160.66666666666666
22.7,26.2,20.4,87,67.06,6.9,2.2,3.5,173.58333333333334
23.5,27.2,20.2,76,0,6.9,0.9,3.5,261.6666666666667
23.6,29.4,19.4,67,7.87,6.9,0.4,3.5,272.4166666666667
23.7,30,19,66,0,7.6,0.9,3.5,226.29166666666666
24.1,28.8,18.5,63,-,6.3,0.9,3.5,99.70833333333333
24.8,30.4,19,63,0,6.9,0,-,217.375
24.3,31.5,20.4,70,0.25,6.9,1.3,3.5,337.5
24.7,29,19.8,66,0,6.9,1.9,3.5,250.375
23.4,29.2,20.2,77,0,6.9,3.5,5.4,278.0
23.4,30.2,20.8,76,0,6.9,4.1,7.6,192.33333333333334
22.7,27.8,18.4,69,0,7.7,3,5.4,235.33333333333334
22.1,28,20.4,87,0,5.5,2.8,5.4,214.63636363636363
22.8,27.4,20,75,8.89,6.9,5.6,7.6,221.54166666666666
21.6,28.2,19.1,90,0,5.5,4.3,5.4,210.54166666666666
22.9,28.3,20,76,0,6.9,6.5,7.6,130.70833333333334
22.2,28.1,18.6,69,0,6.9,5.9,7.6,194.70833333333334
21.9,28.8,17,50,0,6.9,3,5.4,250.875
21.1,26.6,18.4,81,-,6.9,8,11.1,110.0
19.4,23.8,18.4,96,2.03,4,5.9,14.8,160.0
19.7,22.6,17.8,85,13.21,5.5,5.7,9.4,217.91666666666666
21.1,27,17,60,0,6.9,4.8,7.6,176.375
20.8,26.6,16.7,77,0,6.9,4.3,7.6,185.95833333333334
19.9,26.4,18,89,2.29,4,4.3,7.6,195.375
21.7,25.2,19.4,84,7.62,5.5,5.6,9.4,365.2916666666667
21.3,26.2,19.5,91,5.59,5.5,2.8,5.4,312.2083333333333
21.7,25,19.4,84,0.76,6.9,4.4,5.4,237.625
21.2,28,17,70,0,6.9,0,-,202.875
20.8,27.5,17.2,69,0,6.9,2.2,3.5,260.1666666666667
21.3,27.8,16.4,66,0,6.9,3,5.4,403.9583333333333
20.4,28,17.2,73,0,6.3,3.3,7.6,284.1666666666667
20.3,25.6,17,73,0,6.3,2.2,7.6,288.4166666666667
19.7,25.7,14.5,66,0,6.9,0.9,3.5,256.8333333333333
21.2,28.2,17.4,65,0,6.9,1.1,5.4,169.0
21.2,29,16,61,0,6.9,2.8,5.4,186.04166666666666
21.4,28.4,15.2,61,0,6.9,1.5,5.4,185.58333333333334
